county,state,fips,recent_cases,recent_deaths,pop2019,f_inf_rep,undercount,tooltip
Abbeville,South Carolina,45001,15,0,24527,6.115709218412362e-4,NA,"Abbeville county, South Carolina
 recent cases: 15
 recent prevalence: 0.06%
 possible undercount: NAx"
Acadia,Louisiana,22001,22,3,62045,3.545813522443388e-4,13.636363636363637,"Acadia county, Louisiana
 recent cases: 22
 recent prevalence: 0.04%
 possible undercount: 13.6x"
Accomack,Virginia,51001,377,6,32316,0.01166604777819037,1.5915119363395225,"Accomack county, Virginia
 recent cases: 377
 recent prevalence: 1.17%
 possible undercount: 1.6x"
Ada,Idaho,16001,81,7,481587,1.6819390888873662e-4,8.641975308641975,"Ada county, Idaho
 recent cases: 81
 recent prevalence: 0.02%
 possible undercount: 8.6x"
Adair,Iowa,19001,1,0,7152,1.3982102908277405e-4,NA,"Adair county, Iowa
 recent cases: 1
 recent prevalence: 0.01%
 possible undercount: NAx"
Adair,Kentucky,21001,30,9,19202,0.0015623372565357774,30,"Adair county, Kentucky
 recent cases: 30
 recent prevalence: 0.16%
 possible undercount: 30.0x"
Adair,Missouri,29001,0,0,25343,0,NA,"Adair county, Missouri
 recent cases: 0
 recent prevalence: 0.00%
 possible undercount: NAx"
Adair,Oklahoma,40001,19,0,22194,8.560872307830945e-4,NA,"Adair county, Oklahoma
 recent cases: 19
 recent prevalence: 0.09%
 possible undercount: NAx"
Adams,Colorado,08001,887,26,517421,0.0017142713573666318,2.931228861330327,"Adams county, Colorado
 recent cases: 887
 recent prevalence: 0.17%
 possible undercount: 2.9x"
Adams,Idaho,16003,0,0,4294,0,NA,"Adams county, Idaho
 recent cases: 0
 recent prevalence: 0.00%
 possible undercount: NAx"
Adams,Illinois,17001,11,1,65435,1.6810575380148238e-4,9.090909090909092,"Adams county, Illinois
 recent cases: 11
 recent prevalence: 0.02%
 possible undercount: 9.1x"
Adams,Indiana,18001,2,0,35777,5.5901836375324926e-5,NA,"Adams county, Indiana
 recent cases: 2
 recent prevalence: 0.01%
 possible undercount: NAx"
Adams,Mississippi,28001,61,4,30693,0.0019874238425699672,6.557377049180328,"Adams county, Mississippi
 recent cases: 61
 recent prevalence: 0.20%
 possible undercount: 6.6x"
Adams,Nebraska,31001,103,3,31363,0.0032841246054267767,2.912621359223301,"Adams county, Nebraska
 recent cases: 103
 recent prevalence: 0.33%
 possible undercount: 2.9x"
Adams,Ohio,39001,2,0,27698,7.220737959419453e-5,NA,"Adams county, Ohio
 recent cases: 2
 recent prevalence: 0.01%
 possible undercount: NAx"
Adams,Pennsylvania,42001,57,3,103009,5.533497073071285e-4,5.2631578947368425,"Adams county, Pennsylvania
 recent cases: 57
 recent prevalence: 0.06%
 possible undercount: 5.3x"
Adams,Washington,53001,4,0,19983,2.001701446229295e-4,NA,"Adams county, Washington
 recent cases: 4
 recent prevalence: 0.02%
 possible undercount: NAx"
Adams,Wisconsin,55001,0,0,20220,0,NA,"Adams county, Wisconsin
 recent cases: 0
 recent prevalence: 0.00%
 possible undercount: NAx"
Addison,Vermont,50001,0,0,36777,0,NA,"Addison county, Vermont
 recent cases: 0
 recent prevalence: 0.00%
 possible undercount: NAx"
Aiken,South Carolina,45003,38,2,170872,2.223886886090173e-4,5.2631578947368425,"Aiken county, South Carolina
 recent cases: 38
 recent prevalence: 0.02%
 possible undercount: 5.3x"
Aitkin,Minnesota,27001,0,0,15886,0,NA,"Aitkin county, Minnesota
 recent cases: 0
 recent prevalence: 0.00%
 possible undercount: NAx"
Alachua,Florida,12001,65,4,269043,2.4159706812665633e-4,6.153846153846154,"Alachua county, Florida
 recent cases: 65
 recent prevalence: 0.02%
 possible undercount: 6.2x"
Alamance,North Carolina,37001,76,3,169509,4.483537747258258e-4,3.9473684210526314,"Alamance county, North Carolina
 recent cases: 76
 recent prevalence: 0.04%
 possible undercount: 3.9x"
Alameda,California,06001,570,23,1671329,3.410459580369873e-4,4.035087719298246,"Alameda county, California
 recent cases: 570
 recent prevalence: 0.03%
 possible undercount: 4.0x"
Alamosa,Colorado,08003,5,0,16233,3.080145382862071e-4,NA,"Alamosa county, Colorado
 recent cases: 5
 recent prevalence: 0.03%
 possible undercount: NAx"
Albany,New York,36001,590,34,305506,0.0019312223000530267,5.762711864406779,"Albany county, New York
 recent cases: 590
 recent prevalence: 0.19%
 possible undercount: 5.8x"
Albany,Wyoming,56001,2,0,38880,5.1440329218106995e-5,NA,"Albany county, Wyoming
 recent cases: 2
 recent prevalence: 0.01%
 possible undercount: NAx"
Albemarle,Virginia,51003,44,1,109330,4.0245129424677583e-4,2.272727272727273,"Albemarle county, Virginia
 recent cases: 44
 recent prevalence: 0.04%
 possible undercount: 2.3x"
Alcona,Michigan,26001,2,1,10405,1.9221528111484863e-4,50,"Alcona county, Michigan
 recent cases: 2
 recent prevalence: 0.02%
 possible undercount: 50.0x"
Alcorn,Mississippi,28003,3,1,36953,8.118420696560496e-5,33.333333333333336,"Alcorn county, Mississippi
 recent cases: 3
 recent prevalence: 0.01%
 possible undercount: 33.3x"
Alexander,Illinois,17003,2,0,5761,3.471619510501649e-4,NA,"Alexander county, Illinois
 recent cases: 2
 recent prevalence: 0.03%
 possible undercount: NAx"
Alexander,North Carolina,37003,2,0,37497,5.333760034136064e-5,NA,"Alexander county, North Carolina
 recent cases: 2
 recent prevalence: 0.01%
 possible undercount: NAx"
Alexandria city,Virginia,51510,521,17,159428,0.0032679328599744084,3.2629558541266794,"Alexandria city county, Virginia
 recent cases: 521
 recent prevalence: 0.33%
 possible undercount: 3.3x"
Alfalfa,Oklahoma,40003,0,0,5702,0,NA,"Alfalfa county, Oklahoma
 recent cases: 0
 recent prevalence: 0.00%
 possible undercount: NAx"
Allamakee,Iowa,19005,55,1,13687,0.004018411631475123,1.8181818181818181,"Allamakee county, Iowa
 recent cases: 55
 recent prevalence: 0.40%
 possible undercount: 1.8x"
Allegan,Michigan,26005,73,2,118081,6.182196966489105e-4,2.73972602739726,"Allegan county, Michigan
 recent cases: 73
 recent prevalence: 0.06%
 possible undercount: 2.7x"
Allegany,Maryland,24001,73,10,70416,0.0010366962054078619,13.698630136986301,"Allegany county, Maryland
 recent cases: 73
 recent prevalence: 0.10%
 possible undercount: 13.7x"
Allegany,New York,36003,5,0,46091,1.0848104836085135e-4,NA,"Allegany county, New York
 recent cases: 5
 recent prevalence: 0.01%
 possible undercount: NAx"
Alleghany,North Carolina,37005,4,0,11137,3.591631498608243e-4,NA,"Alleghany county, North Carolina
 recent cases: 4
 recent prevalence: 0.04%
 possible undercount: NAx"
Alleghany,Virginia,51005,1,0,14860,6.729475100942126e-5,NA,"Alleghany county, Virginia
 recent cases: 1
 recent prevalence: 0.01%
 possible undercount: NAx"
Allegheny,Pennsylvania,42003,316,42,1216045,2.598588045672652e-4,13.291139240506329,"Allegheny county, Pennsylvania
 recent cases: 316
 recent prevalence: 0.03%
 possible undercount: 13.3x"
Allen,Indiana,18003,359,33,379299,9.464828538962665e-4,9.192200557103064,"Allen county, Indiana
 recent cases: 359
 recent prevalence: 0.09%
 possible undercount: 9.2x"
Allen,Kentucky,21003,12,0,21315,5.629838142153413e-4,NA,"Allen county, Kentucky
 recent cases: 12
 recent prevalence: 0.06%
 possible undercount: NAx"
Allen,Louisiana,22003,11,0,25627,4.292347914309127e-4,NA,"Allen county, Louisiana
 recent cases: 11
 recent prevalence: 0.04%
 possible undercount: NAx"
Allen,Ohio,39003,47,13,102351,4.5920411134234155e-4,27.659574468085108,"Allen county, Ohio
 recent cases: 47
 recent prevalence: 0.05%
 possible undercount: 27.7x"
Allendale,South Carolina,45005,12,1,8688,0.0013812154696132596,8.333333333333334,"Allendale county, South Carolina
 recent cases: 12
 recent prevalence: 0.14%
 possible undercount: 8.3x"
Alpena,Michigan,26007,50,6,28405,0.0017602534765006161,12,"Alpena county, Michigan
 recent cases: 50
 recent prevalence: 0.18%
 possible undercount: 12.0x"
Alpine,California,06003,1,0,1129,0.00088573959255978745,NA,"Alpine county, California
 recent cases: 1
 recent prevalence: 0.09%
 possible undercount: NAx"
Amador,California,06005,0,0,39752,0,NA,"Amador county, California
 recent cases: 0
 recent prevalence: 0.00%
 possible undercount: NAx"
Amelia,Virginia,51007,3,0,13145,2.2822365918600228e-4,NA,"Amelia county, Virginia
 recent cases: 3
 recent prevalence: 0.02%
 possible undercount: NAx"
Amherst,Virginia,51009,6,1,31605,1.8984337921214997e-4,16.666666666666668,"Amherst county, Virginia
 recent cases: 6
 recent prevalence: 0.02%
 possible undercount: 16.7x"
Amite,Mississippi,28005,14,1,12297,0.0011384890623729366,7.142857142857143,"Amite county, Mississippi
 recent cases: 14
 recent prevalence: 0.11%
 possible undercount: 7.1x"
Anchorage,Alaska,02020,30,0,288000,1.0416666666666667e-4,NA,"Anchorage county, Alaska
 recent cases: 30
 recent prevalence: 0.01%
 possible undercount: NAx"
Anderson,Kansas,20003,0,0,7858,0,NA,"Anderson county, Kansas
 recent cases: 0
 recent prevalence: 0.00%
 possible undercount: NAx"
Anderson,Kentucky,21005,2,0,22747,8.792368224381237e-5,NA,"Anderson county, Kentucky
 recent cases: 2
 recent prevalence: 0.01%
 possible undercount: NAx"
Anderson,South Carolina,45007,40,3,202558,1.9747430365623674e-4,7.5,"Anderson county, South Carolina
 recent cases: 40
 recent prevalence: 0.02%
 possible undercount: 7.5x"
